"MANUFACTURER, Model",Class,ICAO WTC,SRS,
"AIRBUS HELICOPTERS-HARBIN, H-175",Helicopter,Light,I ,
"BARNETT, J4B2 ",Gyrocopter,Light ,I ,
"BOEING, E-3D Sentry",Fixed-wing,Heavy ,III ,
"BUTTERFLY, Golden Butterfly ",Gyrocopter,Light ,I ,
"E-7 GROUP, Bush Hog",Fixed-wing,Light ,I ,
"ECLIPSE, Eclipse 400",Fixed-wing,Light ,III,
"EICH, JE-2 Gyroplane",Gyrocopter,Light ,I ,
"ELA AVIACION, ELA-07 ",Gyrocopter,Light ,I ,
"EMBRAER, EMB-145SA",Fixed-wing,Medium ,III ,
"EUROCOPTER, EC-120 Colibri",Helicopter,Light ,I ,
"EUROCOPTER, EC-130 Stylence",Helicopter ,Light ,I ,
"EUROCOPTER, EC-725 Caracal",Helicopter,Medium,I ,
"EXTRA, EA-230",Fixed-wing,Light ,I,
"FAIREY, Firefly",Fixed-wing,Light ,III,
"GROEN, Hawk 4",Gyrocopter,Light ,I ,
"GRUMMAN, Hawkeye",Fixed-wing,Medium ,III ,
"HOLLMANN, Sportster",Gyrocopter,Light ,I ,
"ILYUSHIN, Il-62 ",Fixed-wing,Heavy ,III ,
"KAMAN, HOK",Helicopter,Light ,I ,
"KAWASAKI, Hkp4",Helicopter,Medium ,I ,
"KAWASAKI, XC-2",Fixed-wing,Heavy ,III ,
"LOCKHEED, TriStar ",Fixed-wing,Heavy ,III ,
"MAGNI, M-19 Shark",Gyrocopter,Light ,I ,
"MCDONNELL DOUGLAS, Baz ",Fixed-wing,Medium ,III ,
"MCKINNON, G-21G Turbo Goose ",Fixed-wing,Light ,II ,
"NORTHROP GRUMMAN, E-2 Hawkeye ",Fixed-wing,Medium ,III ,
"SCAN, SCAN-30",Fixed-wing,Light ,II ,
"SCHWEIZER, 300 ",Helicopter,Light ,I ,
"SF, Hornet",Fixed-wing,Medium ,III ,
"VALMET, FA-18 Hornet ",Fixed-wing,Medium ,III ,